ORF alpha.0 alpha.7 alpha.14 alpha.21 alpha.28 alpha.35 alpha.42 alpha.49 alpha.56 alpha.63 alpha.70 alpha.77 alpha.84 alpha.91 alpha.98 alpha.105 alpha.112 alpha.119 Elu.0 Elu.30 Elu.60 Elu.90 Elu.120 Elu.150 Elu.180 Elu.210 Elu.240 Elu.270 Elu.300 Elu.330 Elu.360 Elu.390 cdc15.10 cdc15.30 cdc15.50 cdc15.70 cdc15.90 cdc15.110 cdc15.130 cdc15.150 cdc15.170 cdc15.190 cdc15.210 cdc15.230 cdc15.250 cdc15.270 cdc15.290 spo.0 spo.2 spo.5 spo.7 spo.9 spo.11 spo5.2 spo5.7 spo5.11 spo..early spo..mid heat.0 heat.10 heat.20 heat.40 heat.80 heat.160 dtt.15 dtt.30 dtt.60 dtt.120 cold.0 cold.20 cold.40 cold.160 diau.a diau.b diau.c diau.d diau.e diau.f diau.g Label gene_class
YPL177C 0.58 -0.14 -0.34 -0.49 -0.09 0.11 0.01 -0.51 0.03 -0.18 -0.01 -0.4 -0.03 -0.27 -0.1 -0.36 0.23 0.07 0.41 0.55 0.32 0.21 -0.14 -0.42 -0.25 0.03 -0.04 -0.15 -0.38 0.07 -0.38 -0.03 0.45 -0.01 0.24 -0.22 -0.94 -0.47 -0.58 0.42 -0.14 -0.89 -0.36 0.18 -0.62 -0.67 -0.1 -0.38 0.68 0.54 0.32 0.12 -0.15 -0.1 -0.49 -1.03 0.12 -0.01 0.48 -0.03 0.25 0.11 0.16 0.43 0.39 -0.42 -0.3 0.14 -0.03 0.41 0.7 -0.79 -0.07 -0.32 -0.47 -0.71 -0.15 0.32 0.32 HTH 1
YAL015C -0.1 -0.12 0.01 -0.34 -0.23 0.14 0.19 -0.38 0.28 -0.17 -0.29 -0.27 -0.38 -0.27 -0.01 -0.01 0.11 -0.1 -0.76 -0.81 -0.4 -0.38 -0.25 -0.86 -0.64 -0.34 -0.14 -0.49 -0.62 -0.14 -0.18 -0.45 -0.15 -0.04 -0.01 -0.62 -0.17 0.04 -0.22 0.03 -0.51 -0.43 -0.04 0.53 -0.29 -0.71 0.01 -0.18 -0.62 -1.32 -1.69 -1.43 -1.79 0.58 -0.54 0.45 -1.09 -1.09 0.06 -0.04 0.33 0.07 0.19 0.16 -0.76 -0.3 -0.64 -0.36 0.03 -0.07 0.07 -0.34 -0.07 -0.2 -0.2 -0.15 0.08 0.83 0.18 nc 2
YAL038W -0.09 -0.58 -0.23 -0.2 -0.12 -0.42 0.11 0.14 0.12 0.24 -0.12 0.04 -0.09 0.11 0.19 0.31 0.03 0.45 -0.49 -0.2 0.2 0.88 0.53 0.15 0.58 0.07 0.36 0.19 -0.71 -0.2 0.33 0.34 -0.79 -0.71 -0.67 -0.27 0.26 0.19 0.29 0.28 0.1 0.04 0.25 0.12 -0.09 -0.14 -0.15 -0.06 -1.69 -2.32 -2.4 -0.81 -1.6 0.73 -0.54 -0.09 -2.56 -4.32 0.3 0.18 -0.69 -0.84 -0.6 -0.86 -0.14 -0.76 0.51 0.01 0.3 -0.12 0.11 -0.42 0.1 0.19 0.29 -0.36 -0.4 -1.32 -2.32 nc 2
YAL040C 1.31 0.45 0.74 -0.76 -0.36 -0.42 0.37 0.1 0.8 0.95 0.77 0.07 -0.07 -0.32 -0.04 0.01 0.38 0.7 -1 -0.32 -0.58 0.16 -0.17 -0.15 -0.67 -0.69 -0.2 -0.07 -0.47 0.21 0.2 -0.01 1.12 1.25 0.69 0.51 0.68 0.87 1.06 0.43 0.25 0.07 0.33 0.38 0.14 -0.03 0.04 -0.17 -1.69 -2.25 -2.56 -0.3 -2.4 0.38 -0.54 -0.3 -2.64 -2.06 -0.17 0.01 -0.32 -0.49 -0.27 0.46 -0.97 -0.67 -0.43 -0.62 0.06 0.24 0.67 0.68 -0.01 0.08 0.3 -0.58 -0.67 0.18 -0.47 nc 2
YAL041W -0.27 -0.74 -0.22 0.11 -0.09 0.01 -0.07 0.32 -0.23 -0.14 -0.18 0.03 -0.29 -0.23 0.04 0.1 0.04 -0.23 0.11 -0.43 -0.4 -0.12 -0.1 -0.54 -0.62 -0.36 -0.38 -0.3 -0.56 -0.34 -0.51 -0.34 -0.14 -0.22 -0.06 0.12 0.19 0.28 0.16 0.03 -0.18 0.15 -0.1 0.11 -0.06 -0.2 -0.43 -0.18 -0.64 -0.84 -1.06 -1.09 -0.92 0.01 -0.15 -0.38 -0.27 -0.36 0.1 0.32 0.5 0.46 0.39 0.36 -0.38 -0.69 0.01 -0.22 0.3 0.34 0.72 0.53 0.12 -0.03 0.06 -0.62 -0.29 -0.81 -0.47 nc 2
YAL043C -0.2 -0.17 -0.15 -0.34 -0.29 -0.36 0.07 -0.25 0.04 -0.1 0.03 -0.62 -0.15 -0.36 -0.03 -0.07 -0.36 -0.25 0.07 -0.03 -0.17 0.44 0.12 -0.04 0.3 -0.09 0.11 -0.22 -0.42 0.21 -0.3 0.38 -0.43 0.11 -0.04 0.12 -0.76 0.38 0.15 -0.06 -0.04 0.14 -0.07 0.15 -0.43 -0.34 -0.38 -0.06 0.03 -0.03 0.71 0.8 0.58 -0.29 0.98 0.29 0.08 0.24 0.39 0.14 0.42 0.89 -0.09 0.74 -1 -0.86 -0.49 -0.43 0.38 0.69 1.36 0.74 0.03 -0.1 -0.62 -1.15 -0.62 -1.12 -0.4 nc 2
YAL067C -0.01 1.6 0.2 -0.38 -0.07 0.11 0.67 0.25 0.36 -0.15 -0.51 -0.17 -0.01 -0.51 0.32 -0.43 0.08 0.06 -0.64 -0.4 -0.42 -0.15 -0.12 -0.36 -0.3 -0.49 -0.3 -0.6 -0.32 -0.54 -0.74 -0.84 -0.74 -0.01 0.83 0.75 -0.92 -1.36 -0.84 0.25 -0.74 -1.12 -1.43 -0.15 -1.51 -1.15 -0.89 -0.17 0.58 1.55 3.26 1.61 2.8 -1.03 1.53 0.86 0.03 0.7 0.1 -0.79 0.28 0.37 -0.04 0.71 -0.56 -0.15 -0.86 -0.49 0.18 0.51 0.32 0.24 -1.12 -1 -0.42 -1.03 -0.89 0.44 0.24 nc 2
YAR008W -0.43 -0.6 0.38 0.3 0.08 -0.27 -0.3 0.11 -0.45 -0.17 -0.29 0.41 -0.04 -0.29 -0.2 0.21 -0.3 -0.18 -0.25 -0.94 -0.49 -0.62 -0.06 0.33 -0.27 -0.23 -0.32 -0.34 0.07 -0.81 -0.76 -0.47 0.1 0.81 0.55 -0.86 -1.32 -1.09 -0.32 0.43 -0.18 -0.76 -1 -0.14 -0.2 -0.34 -0.45 -0.47 1.48 0.99 0.86 0.2 -0.27 0.12 -0.36 -0.38 2.3 1.3 0.31 -1.03 -0.54 -0.27 -0.86 0.16 -0.45 -0.01 -0.36 -0.74 0.23 0.73 0.07 -0.34 -0.25 -0.74 -0.51 -0.67 -0.64 -0.6 -1.12 nc 2
YBL035C -0.45 -0.64 1.01 1.14 0.45 -0.4 -0.64 0.15 -1.09 0.44 0.04 0.28 0.32 0.03 -0.54 -0.12 -0.6 -0.3 -0.79 -1.29 -0.49 0.06 0.59 0.51 0.4 0.16 -0.07 0.11 -0.4 -0.67 -0.79 -0.43 -0.94 0.58 0.38 -2.56 -3.18 -2.74 -4.64 0.36 0.32 -2.74 -3.47 -1.25 -0.67 -0.62 -0.89 0.01 1.01 1.13 1.49 0.45 0.38 0.46 -0.09 -0.74 2.35 1.83 -0.2 -1.12 -0.79 0.37 -0.14 -0.2 -0.62 -0.42 -0.84 -0.34 -0.4 0.07 -0.23 -0.74 -0.49 -0.49 0.21 -0.51 -0.67 0.21 -0.54 nc 2
YBL038W -0.27 -0.03 -0.14 -0.42 -0.12 -0.04 0.28 -0.07 -0.09 -0.07 -0.1 0.25 0.08 -0.17 -0.03 0.01 0.08 -0.12 -0.17 -0.51 -0.47 -0.38 -0.4 -0.12 -0.54 -0.15 0.06 -0.22 -0.74 0.21 -0.06 -0.1 -0.09 0.51 0.39 0.46 0.73 0.7 -1 1.1 0.84 0.94 0.93 1.26 1.54 1.12 1.52 0.06 -0.45 -0.51 -0.01 0.18 0.04 0.18 0.43 0.38 -0.76 -0.76 -0.18 0.14 0.36 -0.23 -0.3 -0.14 -0.18 0.21 -0.18 -0.29 -0.14 0.71 0.44 0.31 0.04 -0.03 0.11 0.31 0.5 1.58 1.19 nc 2
YBL052C -0.14 -0.79 -0.69 -0.47 -0.38 0.15 -0.09 0.28 -0.22 0.51 -0.62 0.3 -0.3 0.12 -0.14 -0.17 0.12 -0.1 -0.81 -0.22 -0.38 -0.01 -0.1 -0.01 0.03 -0.23 -0.23 -0.32 0.03 -0.47 -0.76 -0.47 -0.79 -1.12 -0.27 -0.07 -0.32 -0.49 -0.81 -1 -0.3 -0.4 -0.69 0.29 -0.67 -0.56 -0.58 -0.12 0.18 0.01 0.36 0.36 0.49 -0.32 0.04 0.32 0.4 0.32 -0.09 -1.22 -0.09 -0.34 -0.36 0.03 -0.67 -0.36 -0.56 -0.23 0.48 0.34 -0.06 0.82 -0.07 0.03 0.01 -0.23 -0.3 -0.49 -0.74 nc 2
YBL056W -0.3 -0.64 -0.1 -0.15 -0.1 0.04 0.08 0.38 -0.1 0.07 -0.09 -0.22 -0.14 -0.07 0.33 -0.01 0.18 0.15 0.1 -0.58 -0.54 -0.42 -0.47 -0.69 -0.47 -0.22 -0.2 -0.27 -0.71 0.23 -0.07 -0.12 -0.04 0.03 -0.62 -0.36 -0.86 0.06 0.03 0.96 -0.17 -1.12 -0.18 0.21 -0.74 -0.64 -0.74 -0.07 0.12 0.44 0.58 0.29 -0.04 -0.18 0.1 -0.18 0.28 0.77 -0.06 -0.04 0.12 -0.62 -0.36 -0.3 0.24 -0.32 0.06 -0.22 0.25 0.08 0.24 0.03 0.01 0.41 0.55 0.11 0.12 0.56 0.12 nc 2
YBL079W -0.47 -0.54 -0.58 -0.54 -0.29 -0.4 -0.1 -0.32 -0.22 -0.47 -0.3 -0.22 -0.4 -0.07 -0.14 0.04 -0.07 -0.3 -0.27 -0.71 -0.56 -0.27 -0.25 0.29 -0.07 0.15 0.16 0.07 -0.23 -0.1 -0.34 -0.18 0.28 -0.12 -0.36 0.1 0.07 0.03 -0.03 -0.29 -0.29 -0.09 -0.14 -0.71 -0.18 -0.67 -0.49 -0.23 -0.22 0.08 0.58 0.43 0.48 -0.15 0.4 0.16 -0.3 -0.42 -0.51 -0.81 -0.76 -0.36 -0.17 0.31 -0.6 -0.64 -0.4 -0.67 -0.1 -0.1 -0.2 0.18 0.07 -0.17 -0.32 -0.51 -0.45 -0.84 -1.12 nc 2
YBL097W -0.97 -0.42 -0.92 -0.43 -0.58 0.01 -0.43 0.59 -0.54 0.32 -1.09 0.51 -0.84 0.11 -0.6 0.11 -0.12 0.79 -0.27 -0.89 -0.45 -0.74 -0.47 -0.07 -0.67 -0.89 -0.34 -0.89 -0.2 -0.74 -0.47 -0.97 -1.12 -0.84 -0.64 0.01 -0.49 -0.62 -1.15 -0.32 -0.03 -1.06 -0.64 -1.06 -1.51 -0.6 -1.29 0.08 -0.29 -0.56 -0.2 -0.09 -0.34 0.3 -0.04 0.56 0.25 -0.36 -0.38 -0.29 0.21 0.19 -0.1 0.58 -1.18 -0.45 -1.12 -0.69 -1 0.12 0.3 -0.14 -0.4 0.15 0.32 -0.3 -0.58 0.31 0.41 nc 2
YBL105C -0.38 0.01 -0.38 -0.51 -0.27 -0.54 -0.04 0.45 0.03 0.08 -0.18 0.04 -0.34 -0.2 -0.09 0.15 -0.12 0.03 -0.03 -0.64 -0.69 -0.17 -0.51 -0.3 -0.06 -0.2 0.11 0.33 -0.49 0.26 -0.43 -0.1 -0.23 -0.15 -0.45 -0.3 -0.3 -0.09 -0.32 -0.38 -0.43 -0.29 -0.62 -0.6 -0.4 -0.47 -0.76 -0.07 -0.2 -0.15 -0.47 -0.49 -0.49 0.21 -0.51 -0.81 0.08 0.36 -0.04 0.37 0.28 0.48 0.03 -0.6 -0.3 -0.42 -0.27 -1.79 0.19 0.1 0.23 0.71 0.19 0.3 0.28 -0.29 -0.03 0.29 -0.03 nc 2
YBR008C -0.22 -0.43 -0.34 0.3 0.16 -0.17 0.04 0.08 -0.38 -0.07 -1.06 0.03 -0.1 -0.07 0.2 -0.38 -0.14 -0.15 -0.51 -0.67 -0.43 -0.62 -0.51 -0.32 -0.64 -0.4 -0.04 -0.07 -0.47 -0.22 -0.6 -0.34 -0.94 -0.74 -0.04 0.03 -0.29 -0.97 -0.92 -0.23 -0.07 0.03 -0.43 -1.06 -0.84 -0.81 -0.54 -0.34 -0.29 -1.12 -0.71 -0.84 -1.25 0.1 -0.34 -0.4 0.53 -0.29 -0.15 -0.07 -0.12 0.18 0.64 0.14 -0.34 -0.49 -0.3 -0.32 0.06 0.43 0.07 0.3 -0.25 -0.14 0.55 -0.29 -0.32 0.37 -0.04 nc 2
YBR017C -0.14 -0.42 0.06 -0.2 0.23 0.29 0.08 0.1 0.12 0.04 0.62 0.31 0.03 -0.09 0.44 0.06 0.14 -0.25 -0.69 -0.56 -0.43 -0.47 -0.36 -0.97 -0.89 -0.29 -0.15 -0.14 -0.6 -0.07 -0.17 -0.49 -0.97 0.21 -0.18 -0.17 -0.04 -0.03 0.06 0.03 -0.1 -0.01 -0.22 0.32 -0.3 -0.62 -0.42 -0.12 -0.2 -0.54 -0.81 -0.58 -0.04 0.32 -0.25 0.32 -0.32 -0.74 0.03 -0.38 -0.36 0.59 0.15 0.39 -0.45 -0.54 -1.12 -0.79 0.49 -0.1 -0.07 -0.54 0.29 0.08 0.14 -0.29 -0.07 -0.84 -1 nc 2
YBR034C 0.11 -1.74 -1.12 -1 -0.32 -0.74 -0.15 0.6 -0.23 -0.2 -0.25 -0.29 -0.17 -0.2 -0.64 -0.34 -0.25 -0.15 -1.4 -1 -0.86 -0.38 0.11 0.18 -0.3 -0.03 -0.14 0.31 -0.36 -0.43 -0.25 -0.4 -1.15 -0.06 -0.34 -0.42 -0.27 -0.15 -0.89 0.98 0.03 -0.97 -0.74 0.6 -1.25 -0.6 -1.06 0.03 -1.18 -0.01 -1.06 -0.43 -0.89 -1.15 -1.15 -1.36 -2.84 -1.74 -0.62 -2.74 -1.56 -1.64 -0.92 -2 -0.12 -1.06 -0.86 -0.97 -0.67 -1.06 -0.32 -0.6 -0.04 0.11 0.16 -1.09 -1.06 -0.6 -1.36 nc 2
YBR036C -0.12 -0.32 0.12 -0.27 0.08 -0.3 0.16 0.5 -0.18 0.04 -0.25 0.03 -0.22 -0.01 -0.25 -0.22 0.03 -0.1 0.44 -0.62 -0.25 -0.47 -0.22 -0.1 0.01 0.28 0.26 -0.04 -0.1 0.16 0.39 -0.04 -0.34 0.28 -0.43 -0.27 -0.58 -0.42 -0.3 1.42 0.11 -0.69 0.03 0.58 -1.09 -0.42 -0.62 -0.01 -0.74 -1.09 -1.15 -0.92 -0.6 0.3 -0.1 0.19 -0.89 -1.03 0.29 0.56 0.33 0.34 0.26 0.03 -0.14 -0.58 0.2 0.18 -0.3 -0.25 0.11 -0.25 -0.27 0.04 0.82 0.3 0.07 0.68 0.29 nc 2
YBR038W -1.51 -2.18 -1.03 -2.56 -2 -0.89 0.4 0.39 1.31 0.24 0.19 -0.14 -1.03 -0.4 -0.51 -0.27 1.14 0.97 -1.74 -2.18 -1.74 -2.12 -1.69 -1.15 -1.03 -0.15 0.62 0.77 0.77 1.06 0.7 0.34 -0.56 -2.18 -2.94 -0.69 0.41 1.16 -0.03 -1.36 -1.18 -0.1 0.75 0.15 -0.27 -0.84 -1.03 -0.09 -0.22 -0.22 -0.23 -0.23 -0.29 0.12 0.04 -0.17 -0.36 -0.42 -0.3 0.57 0.01 0.08 0.99 0.31 -0.92 -1.43 -0.79 -0.4 0.01 -0.09 1.45 0.57 0.03 -0.03 0.06 -0.22 -0.3 -0.58 -0.74 nc 2
YBR076W -0.22 -0.49 -0.36 -1 -0.69 -0.29 -0.23 0.62 -0.56 0.04 -1.03 -0.2 0.15 -0.25 -0.86 0.04 -0.25 -0.07 0.06 -0.15 -0.12 -0.94 -0.23 -0.06 -0.01 0.01 -0.29 -0.45 0.08 -0.67 -0.47 -0.2 -0.14 0.1 0.1 -0.18 -1.4 -1.15 -0.54 0.15 -0.27 -0.14 -0.79 0.37 -1.22 -0.51 -0.6 0.04 -0.12 -0.71 -0.22 -0.06 -0.27 0.01 0.18 0.28 0.06 1.2 1.01 -0.23 0.18 -0.45 0.12 0.42 -0.79 -0.15 -0.42 -0.58 -0.49 0.4 -0.25 -0.22 -0.51 0.12 0.12 0.1 -0.54 0.36 0.44 nc 2
YBR088C -1.47 -1.18 0.89 1.29 0.8 -0.17 -0.76 0.48 -1.56 -0.94 0.3 0.97 0.76 -0.06 -0.29 -0.84 -1.12 -1.22 -2.12 -2.18 -1.32 -0.49 0.2 0.1 0.28 -0.06 -0.3 -0.49 -0.49 -0.97 -1.25 -1.06 -0.29 0.96 -0.43 -0.6 -1.94 -2.4 0.7 1.73 0.96 -0.69 -1.25 -0.67 0.19 -0.01 0.08 -0.17 2.57 2.2 1.58 0.49 0.14 1.15 -0.86 -1.74 3.24 1.7 -0.71 -0.76 -1.36 -0.97 -1.12 -1.47 -0.18 -0.22 -0.89 -0.92 0.53 -0.03 -1.12 -1.29 0.41 0.14 -0.06 -0.58 -0.34 -0.69 -1.47 nc 2
YBR092C -0.23 -0.45 -0.56 -0.86 -1 -1.32 -0.3 0.65 1.52 0.77 0.77 0.15 -0.07 -0.42 -1.22 0.2 0.29 0.34 -1.32 -0.23 -0.43 -0.15 -0.32 -0.23 -0.51 0.04 0.1 0.62 0.1 0.39 0.08 0.4 -0.47 -1.94 -2.56 -1.29 0.55 1.88 0.59 -0.62 -1.25 0.33 1.3 1.74 0.08 -0.42 -0.47 -0.03 -0.1 -0.07 -0.09 -0.04 -0.09 0.21 0.07 0.59 0.36 1.7 0.11 -1.43 -1.4 -0.64 0.41 0.04 -0.42 -1.4 -1.84 -1.51 -0.17 -0.43 -1.15 -0.49 0.07 0.07 0.26 -0.47 -0.92 -1.51 -2.12 nc 2
YBR110W -0.2 -0.34 0.08 -0.15 0.2 -0.23 0.18 0.43 0.06 0.1 0.07 0.18 0.06 -0.14 -0.06 0.03 0.03 0.2 -0.07 -0.58 -0.12 -0.23 -0.18 -0.34 -0.47 -0.27 -0.04 0.07 -0.32 -0.04 -0.34 -0.09 -0.79 -0.56 -0.22 -4.06 -4.64 -3.47 -3.47 -0.23 -0.22 -2.56 -3.32 -0.3 -0.4 -0.47 -0.4 -0.06 -0.25 -0.86 -1.15 -0.14 -1.36 0.33 -0.58 -1.12 0.23 -0.09 -0.22 0.11 0.04 -0.42 0.14 1.15 -0.15 -0.84 -0.09 -0.06 -0.15 -0.42 -0.3 -1 -0.23 -0.1 0.59 -0.2 -0.49 0.26 -0.27 nc 2
